codeexterne,type_organisme,abreviation,denomination_sociale,denomination_commerciale,numeroidentification,localisation_potentielle,intitule,duree,qualifiante,certifiante,public,condition_specifique,session_codeexterne,session_datedebut,session_datefin,session_continue,sheet,in_scope
0451480758-11784,CISP DéFI Centre d'insertion socioprofessionnelle,C.O.F.,Centre d'Orientation et de Formation,,451480758,Amay,bureautique certification tosa,2 Semaines,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0451480758-39766,CISP DéFI Centre d'insertion socioprofessionnelle,C.O.F.,Centre d'Orientation et de Formation,,451480758,Amay,numerique 3d operateur fablab,4 Mois,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0451480758-54765,CISP DéFI Centre d'insertion socioprofessionnelle,C.O.F.,Centre d'Orientation et de Formation,,451480758,Amay,technicien en communication digitale,4 Mois,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0451480758-56265,CISP DéFI Centre d'insertion socioprofessionnelle,C.O.F.,Centre d'Orientation et de Formation,,451480758,Amay,digistart,2 Semaines,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0451480758-56268,CISP DéFI Centre d'insertion socioprofessionnelle,C.O.F.,Centre d'Orientation et de Formation,,451480758,Amay,bureautique base courte,3 Mois,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0451480758-56269,CISP DéFI Centre d'insertion socioprofessionnelle,C.O.F.,Centre d'Orientation et de Formation,,451480758,Amay,bureautique base longue,4 Mois,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0451480758-56366,CISP DéFI Centre d'insertion socioprofessionnelle,C.O.F.,Centre d'Orientation et de Formation,,451480758,Amay,introtic,2 Semaines,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207258514-57794,Enseignement pour Adultes,,Ville d'Andenne,,207258514,Andenne,loisirs creatifs teinture vegetale,1 Années,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0421446291-56899,CISP DéFI Centre d'insertion socioprofessionnelle,Le Hublot (CFP-NSS),Le Hublot (Centre de formation professionnelle Nouveau Saint-Servais),,421446291,Andenne,digistart,7 Jours,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0850017829-55281,Enseignement pour Adultes,,EAFC jean Meunier,,850017829,Anderlecht,ferronnerie,880 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850017829-57981,Enseignement pour Adultes,,EAFC jean Meunier,,850017829,Anderlecht,ferronnerie,1720 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0425429330-56854,CISP DéFI Centre d'insertion socioprofessionnelle,,Perspectives,,425429330,Ans,creative community certified by perspectives cccp,36 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850015849-21254,Enseignement pour Adultes,,I.E.P.S. FEDERATION WALLONIE-BRUXELLES,,850015849,Ans,maintenance et mise a jour informatique,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0850015849-28148,Enseignement pour Adultes,,I.E.P.S. FEDERATION WALLONIE-BRUXELLES,,850015849,Ans,informatique debutant,120 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0850015849-35278,Enseignement pour Adultes,,I.E.P.S. FEDERATION WALLONIE-BRUXELLES,,850015849,Ans,informatique maintenance hardware,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0850015849-42516,Enseignement pour Adultes,,I.E.P.S. FEDERATION WALLONIE-BRUXELLES,,850015849,Ans,maintenance et mise a jour informatique,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0850015849-42520,Enseignement pour Adultes,,I.E.P.S. FEDERATION WALLONIE-BRUXELLES,,850015849,Ans,utilisation d un smartphone d une tablette,100 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0850015849-53223,Enseignement pour Adultes,,I.E.P.S. FEDERATION WALLONIE-BRUXELLES,,850015849,Ans,edition assistee par ordinateur niveau moyen,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0850015849-53270,Enseignement pour Adultes,,I.E.P.S. FEDERATION WALLONIE-BRUXELLES,,850015849,Ans,introduction a l informatique,20 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
1220-0001-0003,Cheque-formation,,DATA PROTECTION INSTITUTE,,849293297,Anvers,stay tuned as dpo fad,56 Heures,NON,NON,travailleur,"- Avoir une connaissance de base des principes les plus importants du RGPD.

Formation exclusivement réservée : 

- Aux DPD
- Aux juristes
- Aux avocats et les responsables du respect de la vie privée

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0206524876-22474,Enseignement pour Adultes,,Ville d'Arlon,,206524876,Arlon,technicien en informatique technicienne en informatique,1300 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0236363165-56217,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Arlon,parcours bureautique a la carte,30 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0409136201-19846,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,CENTRE IFAPME Luxembourg,,409136201,Arlon,decorateur decoratrice d interieur chef d entreprise,3 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
