codeexterne;type_organisme;abreviation;denomination_sociale;denomination_commerciale;numeroidentification;localisation_potentielle;intitule;duree;Courte;moyenne;longue;qualifiante;certifiante;public;condition_specifique
0420404235-55153;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Administrateur spécialisé / Administratrice spécialisée en Cloud Computing;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-19490;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Administrateur spécialisé / Administratrice spécialisée réseaux et systèmes (coordination et encadrement);1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-53972;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Administrateur.trice spécialisé.e en Cloud Computing (X73);1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-53662;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Assistant / Assistante de production audiovisuelle  ;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0458453276-52753;Enseignement pour Adultes;;CBC NAMUR LUXEMBOURG-FORMATION ENSEIGNEMENT;;458453276;Namur;Bachelier de spécialisation en Business Data Analysis ;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-55310;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Cinéma- Assistant / Assistante Réalisateur/Réalisatrice;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0438301725-40488;CFISPA Centre de formation et d'insertion socioprofessionnelle adapté;;Le Réseau;;438301725;Charleroi;COMMUNITY MANAGEMENT;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-45283;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Community manager (coordination et encadrement);1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-50582;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Community manager (coordination et encadrement);1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0407884406-47726;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre IFAPME WAPI;Centre IFAPME Wallonie picarde ou Centre IFAPME de Tournai;;407884406;Tournai;Community manager (coordination et encadrement);1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-46598;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Verviers;Community manager (coordination et encadrement);1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-56971;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Conseiller  / Conseillère en transformation digitale ;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0407884406-56827;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre IFAPME WAPI;Centre IFAPME Wallonie picarde ou Centre IFAPME de Tournai;;407884406;Tournai;Conseiller  / Conseillère en transformation digitale ;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0446476944-49842;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Bastogne;DAO 2D et DAO 3D  ;1 Années;NON;NON;OUI;NON;NON;Chercheur d'emploi;
0461051094-27060;Enseignement pour Adultes;;Centre d'Enseignement Saint - Laurent, Liège;;461051094;Liège;Dessin assisté par ordinateur 2 dimensions - DAO 2D (Autocad);1 Années;NON;NON;OUI;NON;OUI;Chercheur d'emploi;
0446476944-23324;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Bastogne;dessin assisté par ordinateur 2D;1 Années;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0446476944-23324;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Virton;dessin assisté par ordinateur 2D;1 Années;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0446476944-47420;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Virton;dessin assisté par ordinateur 2D;1 Années;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0449929055-38075;CFISPA Centre de formation et d'insertion socioprofessionnelle adapté;;Centre de Redéploiement professionnel Tinlot;;449929055;;Employé(e) de bureau avec compétences en PAO;1 Années;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0410148959-56932;Enseignement pour Adultes;;Comite Organisateur des Instituts Saint-Luc de Liège;;410148959;Liège;Infographie;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-30732;Enseignement pour Adultes;;Province du Hainaut;;207656610;La Louvière;Infographie: Manipulations et retouches d'images numériques;1 Années;NON;NON;OUI;NON;NON;Chercheur d'emploi;
0430708704-38700;Enseignement pour Adultes;;CENTRE SCOLAIRE DON BOSCO A VERVIERS ASBL;;430708704;Verviers;Informatique : bases de l'informatique ;1 Années;NON;NON;OUI;NON;OUI;Chercheur d'emploi;
0207297116-50042;Enseignement pour Adultes;;Ville de Lessines;;207297116;Lessines;Informatique : Edition Assistée par Ordinateur (Word) - Niveau Elémentaire;1 Années;NON;NON;OUI;NON;OUI;Chercheur d'emploi;
0409504997-44217;Enseignement pour Adultes;EAME;ASBL Comite Organisateur de l'Ecole d'Arts et Metiers d'Erquelinnes;;409504997;Erquelinnes;INFORMATIQUE : INITIATION AUX LOGICIELS;1 Années;NON;NON;OUI;NON;OUI;Chercheur d'emploi;
0207656610-30627;Enseignement pour Adultes;;Province du Hainaut;;207656610;La Louvière;INFORMATIQUE : INITIATION AUX LOGICIELS;1 Années;NON;NON;OUI;NON;OUI;Chercheur d'emploi;
2169288697-37943;Enseignement pour Adultes;;;Athenée Provinciale Jean d'Avesne - PromSoc Secondaire Mons Borinage;2169288697;Mons;INFORMATIQUE : Introduction - BUREAUTIQUE: WORD, EXCEL, POWERPOINT, PUBLISHER, INTERNET/INTRANET;1 Années;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0207307311-44166;Enseignement pour Adultes;;Ville de Thuin;;207307311;Thuin;INFORMATIQUE : INTRODUCTION A L’INFORMATIQUE;1 Années;NON;NON;OUI;NON;OUI;Chercheur d'emploi;
0207307311-57699;Enseignement pour Adultes;;Ville de Thuin;;207307311;Thuin;INFORMATIQUE : MAINTENANCE SOFTWARE;1 Années;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0207310774-57002;Enseignement pour Adultes;;Ville de Charleroi;;207310774;Charleroi;Informatique au quotiden;1 Années;NON;NON;OUI;NON;NON;Chercheur d'emploi;
0207299589-53091;Enseignement pour Adultes;;Ville de Binche;;207299589;Binche;INFORMATIQUE POUR SENIOR;1 Années;NON;NON;OUI;NON;OUI;Chercheur d'emploi;
0207656610-26325;Enseignement pour Adultes;;Province du Hainaut;;207656610;La Louvière;Maintenance informatique;1 Années;NON;NON;OUI;NON;OUI;Chercheur d'emploi;
0420404235-55321;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Maquilleur / Maquilleuse cinéma ;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-57693;Enseignement pour Adultes;;Province du Hainaut;;207656610;Farciennes;OPERATEUR/OPERATRICE SUPPORT INFORMATIQUE;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207310774-57043;Enseignement pour Adultes;;Ville de Charleroi;;207310774;Charleroi;Photographie ;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207294047-42277;Enseignement pour Adultes;;Ville de Braine-le-Comte;;207294047;Braine-le-Comte;Posproduction de la photographie;1 Années;NON;NON;OUI;NON;NON;Chercheur d'emploi;
0550398388-40314;Enseignement pour Adultes;;Institut d'enseignement de promotion sociale de la communaute française;;550398388;Libramont-Chevigny;Technicien en Informatique / Technicienne en Informatique;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0461051094-57626;Enseignement pour Adultes;;Centre d'Enseignement Saint - Laurent, Liège;;461051094;Liège;Technicien en Informatique / Technicienne en Informatique;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0216697109-57994;Enseignement pour Adultes;;Commune de Sambreville;;216697109;Sambreville;Technicien en Informatique / Technicienne en Informatique;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0435037872-58043;Enseignement pour Adultes;I.L.Fo.P.;Institut libre de Formation permanente Namur - Luxembourg;;435037872;Namur;Technicien en Multimédia / Technicienne en Multimédia;1 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207294047-42276;Enseignement pour Adultes;;Ville de Braine-le-Comte;;207294047;Braine-le-Comte;Techniques de base de la photographie;1 Années;NON;NON;OUI;NON;NON;Chercheur d'emploi;
0207310774-57007;Enseignement pour Adultes;;Ville de Charleroi;;207310774;Charleroi;Utilisation d'un smartphone;1 Années;NON;NON;OUI;NON;NON;Chercheur d'emploi;
0409147186-52989;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Administrateur / Administratrice Réseaux et systèmes ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0411585945-50409;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME de Dinant;;411585945;Dinant;Administrateur / Administratrice Réseaux et systèmes ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409136201-53447;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;CENTRE IFAPME Luxembourg;;409136201;Libramont-Chevigny;Administrateur / Administratrice Réseaux et systèmes ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-53652;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Administrateur / Administratrice Réseaux et systèmes ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0407884406-50465;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre IFAPME WAPI;Centre IFAPME Wallonie picarde ou Centre IFAPME de Tournai;;407884406;Tournai;Administrateur / Administratrice Réseaux et systèmes ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-53175;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Verviers;Administrateur / Administratrice Réseaux et systèmes ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0407884406-19195;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre IFAPME WAPI;Centre IFAPME Wallonie picarde ou Centre IFAPME de Tournai;;407884406;Tournai;Administrateur spécialisé / Administratrice spécialisée réseaux et systèmes (coordination et encadrement);2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409139169-55401;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Namur/Brabant wallon;;409139169;Wavre;Administrateur spécialisé / Administratrice spécialisée réseaux et systèmes (coordination et encadrement);2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0461051094-57625;Enseignement pour Adultes;;Centre d'Enseignement Saint - Laurent, Liège;;461051094;Liège;Brevet d'Enseignement Supérieur de Webdeveloper;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-22085;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Concepteur / Conceptrice d'animation 3D (chef d'entreprise);2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
